id,userId,currency,amount,vat,oldBalance,newBalance,timestamp
'01HHEN4PVPVF2TV178YPES6CD8','7ea81f9e-1a24-4664-bd94-4d88dc6fd07d','BHD',8.0,0.0,96.5,89.227,2023-12-12 09:22:16.708000+00:00
'01HHEN4S12A5ZGTKBDCDV1SPAX','7ea81f9e-1a24-4664-bd94-4d88dc6fd07d','BHD',8.0,0.0,96.5,89.227,2023-12-12 09:22:16.708000+00:00
'01HHF8PNYSGZE97590YGSC4NA0','2af65ba7-48fc-4433-be65-5dca7e3094a8','BHD',75.0,6.82,74.682,142.864,2023-12-12 15:01:01.916000+00:00
'01HHF8W7DFBZYH7QSH6PT23C9V','8b293101-dfef-43ed-9095-ac05a1507d34','BHD',43.998,4.0,148.998,188.996,2023-12-12 15:01:01.916000+00:00
'01HHFB3BGSWJNT6PBZ3QZE9FZC','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',10.0,0.0,473.0,483.0,2023-12-12 15:42:54.273000+00:00
'01HHEAB8C2SPCF6SEYZZ7AY165','eb6875d4-8663-4dc5-8838-1148a2425c13','BHD',3.0,0.27,273.818,276.545,2023-12-12 06:10:30.303000+00:00
'01HHENTP56Y261K1GPZ7EQH85K','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',55.0,5.0,313.0,363.0,2023-12-12 09:31:09.519000+00:00
'01HHEWQCPHW406YCK7K9XE28ZD','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',11.0,1.0,443.0,453.0,2023-12-12 11:31:41.370000+00:00
'01HHETXH1JW36YA8E5DKC1N4NS','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',55.0,5.0,413.0,463.0,2023-12-12 11:00:06.076000+00:00
'01HHFXE1D4V1VSX7E9BEK1REJ6','be98bc1b-926c-4c56-a53c-7ccb51fdd41e','SAR',90.0,0.0,1710.0,1620.0,2023-12-12 21:03:17.094000+00:00
'01HHFXE5NFQXH3KCP723RBF9P3','f1a91257-52d5-4b76-b2ce-a28ed5f2e5c7','BHD',9.0,0.0,90.0,81.0,2023-12-12 21:03:17.094000+00:00
'01HHFXEAE6MSMH8NXMZDNYCPX0','e86bf810-ce46-40cb-b7d0-fbc8517fe1a1','SAR',90.0,0.0,1710.0,1620.0,2023-12-12 21:03:17.094000+00:00
'01HHFXE2GDHAFVRQ041XDX1YSM','e55755fa-20dd-410d-af94-d4ced92039be','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXE4FC90S0T1DH9D25NV2H','445abd69-0816-4fba-826c-feb24281a3e5','SAR',90.0,0.0,630.0,540.0,2023-12-12 21:03:17.094000+00:00
'01HHFXANRDEHVA0H6B6A0P5H3G','1b5748cb-c677-44ab-9d61-940e554fc014','KWD',7.5,0.0,243.5,236.0,2023-12-12 21:03:17.094000+00:00
'01HHFXB4G19VDFPE04PG0CRQ9T','0b99ff14-56e5-4c29-a38e-fb64a7b18e1a','SAR',90.0,0.0,630.0,540.0,2023-12-12 21:03:17.094000+00:00
'01HHFXFGY1BTYM9QJTCVZ596XE','0cff33de-172f-4546-b1d3-365c6fda2b00','SAR',60.0,0.0,1001.0,941.0,2023-12-12 21:03:17.094000+00:00
'01HHFXFW18C51Y8J19Z69X7TX9','d435bc53-d96a-4b30-be32-9e8fbbe3878b','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXFY3KPFKGBYV4EZN4KM8X','709c6d90-afa7-4f96-add9-be439e085a89','BHD',10.0,0.0,233.0,223.0,2023-12-12 21:03:17.094000+00:00
'01HHFXG09TN42F9535MCZG8XQQ','8a7f8c21-2221-472e-9be8-877a538f282e','BHD',9.0,0.0,10189.524,10180.524,2023-12-12 21:03:17.094000+00:00
'01HHFXG2G8Y4BW11F0500ABNDE','47d03621-dec7-4429-bee2-02be753fcdc4','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXG50G5QMVA9MBEJ6HA4CZ','f6749e52-c04c-4955-b695-94e3fc02488a','SAR',90.0,0.0,900.0,810.0,2023-12-12 21:03:17.094000+00:00
'01HHFXG8GCDX4F6DJT6XEAXH68','a10e7ad6-a70f-4ffa-bc51-4cfe8d04ee7c','SAR',90.0,0.0,1230.0,1140.0,2023-12-12 21:03:17.094000+00:00
'01HHFXFS4NXA9FEA1H1XGZ15H7','f34f13a7-5078-44f1-a6b8-b61a00ea5049','SAR',90.0,0.0,1170.0,1080.0,2023-12-12 21:03:17.094000+00:00
'01HHFXG4JZY9SR9Y07W9SDMJ2F','7967661b-9d88-4089-9047-81e9928af941','SAR',90.0,0.0,360.0,270.0,2023-12-12 21:03:17.094000+00:00
'01HHFXCBT88K91YQK3FWG6T4PP','b66d065b-3a4b-4871-9d0c-99701e74c8e9','SAR',90.0,0.0,25752.0,25662.0,2023-12-12 21:03:17.094000+00:00
'01HHFXCHS4WH58T5X381MNAV2N','fb387231-a328-4c4d-8d82-dda7943af9e7','SAR',100.0,0.0,41954.0,41854.0,2023-12-12 21:03:17.094000+00:00
'01HHFXCHNWW0G2ZNKDYF7V7VF2','afad1f0a-8d1a-4883-aa2f-9e3afc02d3b1','SAR',42.0,0.0,1118.0,1076.0,2023-12-12 21:03:17.094000+00:00
'01HHFXCKQ7ZTJA7N5R5TKX4816','d9e8cfc2-2de6-4ea9-976c-f7fcd4e44b13','SAR',90.0,0.0,3090.0,3000.0,2023-12-12 21:03:17.094000+00:00
'01HHFXCSSWSGMYXB97SPQAXQ7T','66a734f3-a86b-477a-929e-50e078195a91','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXCG97QDXTRTKVFCZ8BJQY','35d6378d-dd42-42e6-8e21-1656572aca3f','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXCPW7EGM1R6MRTX50Q13S','9f4df114-f657-4b93-af46-af0c3922bdef','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXCQ5BHRFRHG6XFG2EMJTY','c2ea7768-6df8-4dd0-b08c-e23ece7f807b','SAR',100.0,0.0,800.0,700.0,2023-12-12 21:03:17.094000+00:00
'01HHFXCY4HA3ZTWPJQP88A4KKA','53fbb8f0-608a-43af-b8c0-ba03894e147a','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXDAY84N3V7PVEWK467J3X','8fd614d8-9638-4c66-8345-319280777aae','BHD',5.5,0.0,230.0,224.5,2023-12-12 21:03:17.094000+00:00
'01HHFXD3R960HCBJV80Z86EGWF','e0576404-a8b9-4bbf-857a-a68adf9999fd','BHD',9.0,0.0,243.0,234.0,2023-12-12 21:03:17.094000+00:00
'01HHFXD6E3ZSTCPH9PZ7R6GJD1','c6a1f70f-8d35-4e95-a4b5-e946b4c3944d','SAR',100.0,0.0,700.0,600.0,2023-12-12 21:03:17.094000+00:00
'01HHFXDFH57SSCKTP54H010RE6','e2ba0d37-98ed-4a9f-a668-b8b97d667977','SAR',90.0,0.0,1350.0,1260.0,2023-12-12 21:03:17.094000+00:00
'01HHFXDHQXW72TSKFYDDW2SC20','1b7eebb3-02fc-4cd8-aabe-8d1db4d14c4e','KWD',7.5,0.0,60.0,52.5,2023-12-12 21:03:17.094000+00:00
'01HHFXD4Y71KEKY1SXDDFH050V','94e55883-fe72-4243-b801-72206e4cef0a','SAR',90.0,0.0,1350.0,1260.0,2023-12-12 21:03:17.094000+00:00
'01HHFXDDCV2FCRXMT5VDXQMS98','33f0b266-7eeb-42fe-bfb0-6bdf7ecae9f7','SAR',42.0,0.0,294.0,252.0,2023-12-12 21:03:17.094000+00:00
'01HHFXF9KQYFHSK5YZYM6WN5QS','4531caaa-fb25-419c-b8cc-1e41df747a6a','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXFQFG3MM3R605RRXVBQPM','476664ea-f614-4903-8897-97305d19ac48','SAR',90.0,0.0,951.0,861.0,2023-12-12 21:03:17.094000+00:00
'01HHFXF8EC9SP8ZV24SZYBV0MT','4fc86d01-309d-4534-9db4-73bdd8aabf80','SAR',90.0,0.0,900.0,810.0,2023-12-12 21:03:17.094000+00:00
'01HHFXFD809HZV3TQJ1BAT5846','79725ee0-4e1b-4f2e-9edf-ccbec4fc184a','SAR',90.0,0.0,450.0,360.0,2023-12-12 21:03:17.094000+00:00
'01HHFXFST4095SFJ6DHCRNY25F','26d31238-b7a4-4e7b-a52e-faa96846333c','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXDP2M0R1GAFKSGV4RZ7XE','f5d66611-6d18-4c1d-8542-11e626c99c1e','QAR',120.0,0.0,1280.0,1160.0,2023-12-12 21:03:17.094000+00:00
'01HHFXD0FA1CEH2TSG29WXM8V4','cc209dc1-65cd-413e-8deb-9a8e37b333ad','SAR',90.0,0.0,3090.0,3000.0,2023-12-12 21:03:17.094000+00:00
'01HHFXD89G2SJHC5HW49AVE7RZ','2c2a8830-b2f7-4b3e-a180-7a5654eee40c','SAR',90.0,0.0,41816.39,41726.39,2023-12-12 21:03:17.094000+00:00
'01HHFXDJYZV5NV0D3PKAV55TT1','bd7971c8-c11b-46ab-96c7-105eb10b444e','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXDPYTXG7P0HXE49VFJE7A','6f7b9fb3-bc7f-48c0-ab23-e436b3729b55','SAR',90.0,0.0,1170.0,1080.0,2023-12-12 21:03:17.094000+00:00
'01HHFXDVCJE52DVC7RHVYNAQJH','46176cfe-75b8-4dc3-aeba-64e9649f2840','SAR',90.0,0.0,1710.0,1620.0,2023-12-12 21:03:17.094000+00:00
'01HHFXDWW0J400FHDF2P17CTEN','36cffa58-f615-4cb9-9e9e-38aed031080d','SAR',90.0,0.0,810.0,720.0,2023-12-12 21:03:17.094000+00:00
'01HHFXDZ3VP1SPSZS338BRTGQF','7a46f077-87df-49e3-b606-f37d0f061728','BHD',9.0,0.0,18.0,9.0,2023-12-12 21:03:17.094000+00:00
'01HHFXARRCHJ7X86GB770RT2ME','8517dbf1-c68c-4d63-8f5e-a834eb1bb9a1','SAR',90.0,0.0,450.0,360.0,2023-12-12 21:03:17.094000+00:00
'01HHFXAX5R29GP559AYJ5N1P8Y','d660234f-ebd5-41da-919b-b125cfe67889','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXB1KCGZEDRMG6T44DA59H','eab26565-2a53-4df2-989c-1ce0eabffd46','SAR',90.0,0.0,450.0,360.0,2023-12-12 21:03:17.094000+00:00
'01HHFXB5A960TY9XNBJ1EKXGXT','804d97c8-bf70-4f6d-ad3b-8b63bb543104','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXAW693N82K859W0R256C3','4e9fc563-f427-44bc-974e-75b89833018f','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXB0DMNYT3G1YXRP0FK1AQ','75e32016-3c6f-475a-9c40-35e9d30eb4ed','SAR',90.0,0.0,2600.0,2510.0,2023-12-12 21:03:17.094000+00:00
'01HHFXB69C8TEDS778Z56BGRZJ','ebdb2053-3e0f-4979-8c0f-fc39a66007db','QAR',120.0,0.0,1040.0,920.0,2023-12-12 21:03:17.094000+00:00
'01HHFXB7JWV2SPAF98A3EWXGK5','73c12ad6-2a1f-44e4-8c96-022d4a205a5c','SAR',120.0,0.0,120.0,0.0,2023-12-12 21:03:17.094000+00:00
'01HHFXBAM7GJ4RYN2JM5GMBQK5','87c848f8-99e3-4d14-a0a6-117bc5cee05b','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXBW2QMP1G092TXMKDGWK6','34ba33ca-e3cd-4897-b0b0-771c0ea7407a','SAR',90.0,0.0,2260.0,2170.0,2023-12-12 21:03:17.094000+00:00
'01HHFXGB3F8C6BCY6WQ8Y0WD24','460733e0-3f51-4cb4-b870-9f1a50ffd1a9','BHD',9.0,0.0,340.0,331.0,2023-12-12 21:03:17.094000+00:00
'01HHFXGCDVEH9Y0F0FZCGBB2DV','5fd7a797-569b-483e-9e96-9361757e3749','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXGF49XWS4PTY1R1KHCP77','67305f3f-628b-4997-83f9-1247a896127a','BHD',9.0,0.0,3204.0,3195.0,2023-12-12 21:03:17.094000+00:00
'01HHFXGKRHH279718AKH8BKTSS','ca4da5ef-df7d-417f-8098-80c027212092','SAR',20.0,0.0,1020.62,1000.62,2023-12-12 21:03:17.094000+00:00
'01HHFXGQ3FB3BCPBSJ2J8NV218','8cfb0a41-4446-43f9-8ace-c17b9c9a9c7e','SAR',60.0,0.0,19525.0,19465.0,2023-12-12 21:03:17.094000+00:00
'01HHFXGQ5R18TPR64KAG16988A','f8c629ff-e140-4e26-b38c-f99d237959da','SAR',90.0,0.0,927.85,837.85,2023-12-12 21:03:17.094000+00:00
'01HHFXGE8EB4G59JKMSRH1ZPBX','4e84f0ec-7629-49dc-b110-27a6eb9b4d9c','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXGJSRBC3QKX5EQP7F0FRM','2669d640-a5cb-4d0d-a4b3-e95de0b3f4ad','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXGMXC155APMAN8ZFWY3RX','dad65afc-5053-4bfb-bab4-c4238e52842d','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXBFQC5HZY1K2ANYGK7TFC','f46e0b6a-2cdf-4e6d-95de-e71d1b0394f0','SAR',90.0,0.0,450.0,360.0,2023-12-12 21:03:17.094000+00:00
'01HHFXBXFA34R3XJE6XCYKMR39','3e5d306b-b329-4d4b-98dd-151cf9c831fd','SAR',90.0,0.0,720.0,630.0,2023-12-12 21:03:17.094000+00:00
'01HHFXBJXBXBJ76CAPPR44BGQ1','575e110d-9fbf-4b98-acd0-ff3b6d33a3d1','BHD',9.0,0.0,309.0,300.0,2023-12-12 21:03:17.094000+00:00
'01HHFXBN8VQH89JDCG6HP3N12M','cfee18c3-4c5c-43d6-8333-459ced998886','SAR',100.0,0.0,1600.0,1500.0,2023-12-12 21:03:17.094000+00:00
'01HHFXBZHJPQ12SGY2DVDHZWQ8','fe34a324-49e4-4375-a0a6-30db0ad725c0','BHD',9.0,0.0,151.0,142.0,2023-12-12 21:03:17.094000+00:00
'01HHFXEMZ172GZHP2GHMB3KCPJ','5e3ad33d-e32c-4a99-984f-8917aa66a953','SAR',90.0,0.0,699.56,609.56,2023-12-12 21:03:17.094000+00:00
'01HHFXEQA27T5X0P6QC3KJMA9K','0842cf84-a66c-4ef8-af9d-9e806112336a','SAR',90.0,0.0,1970.0,1880.0,2023-12-12 21:03:17.094000+00:00
'01HHFXESNNXMACM0BD7H4W091C','7c962fba-91b0-45f8-a791-697111e203aa','SAR',90.0,0.0,900.0,810.0,2023-12-12 21:03:17.094000+00:00
'01HHFXF625HG0H61K5P30SJY6M','049bb6da-aa2e-4b69-93b4-8bcf19b74875','BHD',26.5,0.0,863.0,836.5,2023-12-12 21:03:17.094000+00:00
'01HHFXF6P7WN53XW67P03AZSJ1','1306427b-7f89-48fd-8bf0-ee859c8b95d4','SAR',90.0,0.0,57749.0,57659.0,2023-12-12 21:03:17.094000+00:00
'01HHHC4SVZH68H51ZAC9NG0EV3','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',3.3,0.3,464.091,461.091,2023-12-13 10:39:39.127000+00:00
'01HHHVRSPTB4E17XMEAEVCC5HZ','8b293101-dfef-43ed-9095-ac05a1507d34','BHD',3308.1,300.74,3156.362,6163.726,2023-12-13 15:21:33.720000+00:00
'01HHHW5Y6R5ZGVV57307S2V905','8b293101-dfef-43ed-9095-ac05a1507d34','BHD',3333.702,303.06,3180.0,6210.638,2023-12-13 15:21:33.720000+00:00
'01HHH4ZA9V3YV53A40PDZBB96X','df06a87e-a8bd-4aa4-b6f0-c16c1be9bb02','BHD',10.0,0.0,11.0,21.0,2023-12-13 08:34:19.436000+00:00
'01HHHGRGE5FE0H3CWNH04TKVRB','eb6875d4-8663-4dc5-8838-1148a2425c13','BHD',546.0,49.64,862.909,1359.273,2023-12-13 12:00:19.374000+00:00
'01HHH9WTSYKZXC8BBY1ETENXKC','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',10.0,0.91,482.091,491.182,2023-12-13 10:00:20.729000+00:00
'01HHHA1ZN2HZEV3B1FNG0M22WZ','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',5.5,0.5,467.091,462.091,2023-12-13 10:00:20.729000+00:00
'01HHH9Y8YERRYX93XQMT5VHFYD','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',10.0,0.0,472.091,462.091,2023-12-13 10:00:20.729000+00:00
'01HHHEG8KKSDNTXK1Y37MQ0TXW','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',2.2,0.2,477.091,475.091,2023-12-13 11:20:50.519000+00:00
'01GZHPNDDV7C73NEJTG6XRDAWM','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',117.0,0.0,1252.0,1135.0,2023-12-13 11:20:50.519000+00:00
'01GZPVEZW87Q2PXD7A48FD1C8E','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',107.0,0.0,1252.0,1145.0,2023-12-13 11:20:50.519000+00:00
'01GZSDVGDA7JENCCKWV4V9626B','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',117.0,0.0,1252.0,1135.0,2023-12-13 11:20:50.519000+00:00
'01H03QEQTXKHGX9P8ZAZ394P3E','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',117.0,0.0,1252.0,1135.0,2023-12-13 11:20:50.519000+00:00
'01H0E11GQWS9REJSSY864S7TYB','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',117.0,0.0,1252.0,1135.0,2023-12-13 11:20:50.519000+00:00
'01H0GKEG197T937E5CHXAD2YPJ','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',117.0,0.0,1252.0,1135.0,2023-12-13 11:20:50.519000+00:00
'01GZW07WV17K22ABQVP9MBB1VN','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',117.0,0.0,1252.0,1135.0,2023-12-13 11:20:50.519000+00:00
'01H0MBPJS49QT53QAE0C0XF09F','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',614.25,29.25,1252.0,1837.0,2023-12-13 11:20:50.519000+00:00
'01H0XFE45E7BAW7RNEQ7FGH24N','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',117.0,0.0,1252.0,1135.0,2023-12-13 11:20:50.519000+00:00
'01GZYJNRAZKSJCJJGV8MQE9D15','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',117.0,0.0,1252.0,1135.0,2023-12-13 11:20:50.519000+00:00
'01H02AWG1MK36P1S9KE094PBZQ','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',614.25,29.25,1252.0,1837.0,2023-12-13 11:20:50.519000+00:00
'01H08W8MY8CGDNQ9QP09PCYKGZ','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',117.0,0.0,1252.0,1135.0,2023-12-13 11:20:50.519000+00:00
'01H0BEN1AV5HRA4NRS60G9GJEE','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',107.0,0.0,1252.0,1145.0,2023-12-13 11:20:50.519000+00:00
'01H0NR8289FD09TFN53K88FZ6D','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',117.0,0.0,1252.0,1135.0,2023-12-13 11:20:50.519000+00:00
'01H0TX1FHABX4X8QB557JEEVH4','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',107.0,0.0,1252.0,1145.0,2023-12-13 11:20:50.519000+00:00
'01H101TW65SBZMB1ZH0YXY6P97','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',117.0,0.0,1252.0,1135.0,2023-12-13 11:20:50.519000+00:00
'01H12NBT68YAYKKS2KGG29376F','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',117.0,0.0,1252.0,1135.0,2023-12-13 11:20:50.519000+00:00
'01HHHEMPA0GB1F94FZXB5TFCTZ','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',1222.0,0.0,1252.0,2474.0,2023-12-13 11:20:50.519000+00:00
'01HHHE5ZJ2BAAJ9WWKMSS9ZBNW','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',1.1,0.1,479.091,478.091,2023-12-13 11:20:50.519000+00:00
'01HHJFQCZZ6QSXBK4SCFRECP24','709c6d90-afa7-4f96-add9-be439e085a89','BHD',10.0,0.0,223.0,213.0,2023-12-13 21:01:37.028000+00:00
'01HHJFQJDVJ4CYVHGXTX70Z1Q4','cc209dc1-65cd-413e-8deb-9a8e37b333ad','SAR',90.0,0.0,3000.0,2910.0,2023-12-13 21:01:37.028000+00:00
'01HHJFQN52BDATN70C083SA30V','e0576404-a8b9-4bbf-857a-a68adf9999fd','BHD',9.0,0.0,234.0,225.0,2023-12-13 21:01:37.028000+00:00
'01HHJFQNZ4MVD5E9VX1GN6K1WA','ccdaf8e4-6a45-4424-a311-7ede16aa2f53','BHD',8.0,0.0,8.0,0.0,2023-12-13 21:01:37.028000+00:00
'01HHJFQQC7YKPWP1FG09Q3VPWK','d9e8cfc2-2de6-4ea9-976c-f7fcd4e44b13','SAR',90.0,0.0,3000.0,2910.0,2023-12-13 21:01:37.028000+00:00
'01HHJFQZ65AWGHS5NDZEB3Z8DD','d4f9f25d-cda7-49fc-a9fd-126b455f6c81','AED',117.0,0.0,1135.0,1018.0,2023-12-13 21:01:37.028000+00:00
'01HHJFRA94JGPFVSBFCEJKBWV7','efa6426b-5dc2-42b8-ac5d-e40d81dda0a1','BHD',11.5,0.0,240.5,229.0,2023-12-13 21:01:37.028000+00:00
'01HHJFRB266B57GM1JPQNQ0CTP','1b5748cb-c677-44ab-9d61-940e554fc014','KWD',7.5,0.0,236.0,228.5,2023-12-13 21:01:37.028000+00:00
'01HHJFRCQZTVB2G4GWYJAACPV9','a09d7e6f-cd6a-4e47-8fd6-6b9a7dd03d4d','BHD',11.5,0.0,240.5,229.0,2023-12-13 21:01:37.028000+00:00
'01HHHDJJQM7RT83ZRRDDXBM49E','eb6875d4-8663-4dc5-8838-1148a2425c13','BHD',102.0,9.27,366.546,459.273,2023-12-13 11:04:37.779000+00:00
'01HHHDRTRM4N5Z1S2YJKDKH6F1','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',1.1,0.1,480.091,479.091,2023-12-13 11:04:37.779000+00:00
'01HHHDPTRGD7Z6R48FERA7Q2A4','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',1.1,0.1,481.091,480.091,2023-12-13 11:04:37.779000+00:00
'01HHHDE5Z7GYRTZVGDFBA2JVYE','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',2.2,0.2,482.091,480.091,2023-12-13 11:04:37.779000+00:00
'01HHHD1FBA4QPA2ZMHEGR8ENMT','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',10.0,0.0,484.091,494.091,2023-12-13 10:55:18.839000+00:00
'01HHHYGS7PM69GYAE15BTH4K4B','cac838c5-a9e1-41b1-877e-2587cbea7b20','BHD',2.2,0.2,8062.0,8064.0,2023-12-13 16:00:46.014000+00:00
'01HHHYHRYS0N0TV62DQQJKGK6K','cac838c5-a9e1-41b1-877e-2587cbea7b20','BHD',1309.942,119.09,9252.856,10443.712,2023-12-13 16:00:46.014000+00:00
'01HHHC70WAC55S6WA80WTADSNW','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',10.0,0.0,474.091,484.091,2023-12-13 10:40:51.596000+00:00
'01HHMTBXV37YJJAGXHRW15BN5S','eb6875d4-8663-4dc5-8838-1148a2425c13','BHD',238.0,21.64,225.364,441.728,2023-12-14 18:45:55.504000+00:00
'01HHMT7H96DVKBMXN7DT77WQVD','eb6875d4-8663-4dc5-8838-1148a2425c13','BHD',759.0,69.0,2720.182,3410.182,2023-12-14 18:43:32.290000+00:00
'01HHN2547H0D30D2FR1VXQMAZD','67305f3f-628b-4997-83f9-1247a896127a','BHD',9.0,0.0,3195.0,3186.0,2023-12-14 21:01:55.477000+00:00
'01HHN254EMZXTA1XWVMDAE7H5Y','20f25ac8-8c5b-4ddf-a655-12257aed6fff','BHD',9.0,0.0,318.0,309.0,2023-12-14 21:01:55.477000+00:00
'01HHN256N32PTDX9E65Y4F3SFB','dad65afc-5053-4bfb-bab4-c4238e52842d','BHD',9.0,0.0,300.0,291.0,2023-12-14 21:01:55.477000+00:00
'01HHN256T484TYS7NGGKASBC79','804d97c8-bf70-4f6d-ad3b-8b63bb543104','BHD',9.0,0.0,300.0,291.0,2023-12-14 21:01:55.477000+00:00
'01HHN25C9QBPM7BW535EA5H7Z5','8c5e33e3-3618-4d09-8e79-c8d42c74731d','BHD',9.0,0.0,318.0,309.0,2023-12-14 21:01:55.477000+00:00
'01HHN25EERC79HRH859ZKNX8SG','daa2bf74-cf31-4552-9e85-acb48a7c3f90','BHD',9.0,0.0,468.091,459.091,2023-12-14 21:01:55.477000+00:00
'01HHN25EJ3578AP8Z735BFQNWA','b11a22a9-3283-4c2a-8530-5f685c1035b4','BHD',9.0,0.0,418.0,409.0,2023-12-14 21:01:55.477000+00:00
